OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
1,2381,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",2.74,Not Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,119447.948852539,3245.81450326522
2,1756,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,85.9,Not Supporting,Not Supporting,Fully Supporting,2006,Not Evaluated In 2006,3741697.48144531,11258.4135069058
3,2334,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",95.56,Not Supporting,Not Assessed,Fully Supporting,2006,Fully Supporting,4162556.66137695,14645.9969328364
4,1501,CT7105-10-1-L2_01,"Forest, Lake (Bridgeport)","Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.",66.58,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2900384.54125977,13890.3975616815
5,2798,CT7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",15.79,Not Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,687915.380065918,4462.56478785479
6,2759,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",4.97,Fully Supporting,Not Assessed,Not Supporting,2006,Water Not Classified For Drinking Supply,216298.527893066,3312.58121561164
7,1148,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",70.53,Not Supporting,Not Supporting,Not Supporting,2006,Water Not Classified For Drinking Supply,3072257.57525635,11639.5359417681
8,2030,CT5207-00-1-L1_01,North Farms Reservoir (Wallingford),"0.5 miles west of Rt. 91, north side of Rt. 68, Wallingford.  Headwaters of Wharton Brook.",66.07,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2878042.7555542,9620.59986643716
9,24,CT5207-02-1-L1_01,Allen Brook Pond (North Haven/Wallingford),"Wharton Brook State Park. Impoundment off Allen Brook, near mouth and confluence with Wharton Brook; Wallingford/North Haven boundary.",4.79,Not Assessed,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,208470.724304199,2759.61165185944
10,2346,CT5110-04-1-L1_01,Quonnipaug Lake (Guilford),"Guilford just east of Rt 77, 2 miles north of Rt 80.",96.1,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4186163.40447998,18247.4072945472
11,2544,CT5105-00-2-L1_01,Schreeder Pond (Killingworth),"Chatfield Hollow State Park.  Impoundment of Chatfield Hollow Brook, US of Rte 80 crossing, Killingworth.",3.94,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,171585.327880859,2715.79730660376
12,1549,CT5302-00-4-L3_01,"Whitney, Lake (Hamden)","Impoundment of Mill River, Hamden. Northern most portion near south side of Route 15, exit 60 (intersection with Route 10).",140.42,Fully Supporting,Not Assessed,Fully Supporting,2006,Fully Supporting,6116854.01452637,34020.7806663861
13,943,CT5105-00-2-L2_01,Foster Pond (Killingworth),"South of Rt. 80, across from Chatfield Hollow State Park, Killingworth.",27.92,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,1216240.8939209,10472.2868161858
14,456,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).",21.58,Not Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,940115.466003418,4467.58689884193
15,1635,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.",22.92,Not Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,998375.887390137,4155.5130772835
16,823,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.",2.72,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,118624.020385742,1654.8777193948
17,3467,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,189.28,Not Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,8245151.2779541,24334.0947407594
18,1019,CT3600-00-3-L6_01,Glasgo Pond (Griswold/Voluntown),"Impoundment of Pachaug River, near Griswold/Voluntown border, begining on west side of Sheldon Road Crossing, and DS to east side of Route 201 crossing (Includes portion south of Route 165 crossing). Doaneville Pond portion NOT included.",104.29,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4543058.87304688,22397.646348508
19,1683,CT2104-00-1-L2_01,Long Pond (Ledyard/North Stonington),"Ledyard, North Stonington border.",111.31,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4848818.39007568,24895.8602635687
20,1909,CT3206-00-1-L1_01,Morey Pond (Union/Ashford),Straddles Ashford - Union line and is split by Rte 84.,47.22,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,2056890.79272461,12386.7708420509
21,2134,CT3600-00-3-L7_01,Pachaug Pond (Griswold),"Impoundment of Pachaug River, eastern Griswold.",836.92,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,36456201.9591064,77824.1004669891
22,2337,CT3400-00-2-L11_01,Quaddick Reservoir (Thompson),Southeast corner of Thompson; impoundment of the Fivemile River.,391.3,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,17045070.348999,65540.0889839425
23,1779,CT3203-00-1-L1_01,Mashapaug Lake (Union),Northeastern Union near MA border.,297.92,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,12977269.9320068,38090.0831413975
24,1648,CT3400-00-1-L1_01,Little (Schoolhouse) Pond (Thompson),"Norhteast corner of Thompson, near MA border.  Headwaters of Fivemile River.",65.82,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2866996.7677002,7524.8422722077
25,2033,CT3300-00-3+L3_01,North Grosvenordale Pond Impoundment (Thompson),"Impoundment of French River in north central Thompson, near MA border.",58.66,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,2555387.13110352,18760.8253605496
