OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
1,CT7103-00-2-L5_01,2.74,01100006,2012,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,119447.385192871,3245.84224236113
2,CT8104-00-2-L5_01,85.9,02030101,2012,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,Not Supporting,Not Supporting,Fully Supporting,Not Assessed,3741697.38323975,11258.4021938887
3,CT7409-00-1-L3_01,95.56,01100006,2012,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",Not Supporting,Not Assessed,Fully Supporting,Fully Supporting,4162510.79046631,14645.9219289646
4,CT7105-10-1-L2_01,66.58,01100006,2012,Forest Lake (Bridgeport),"Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2900470.57159424,13890.2632895548
5,CT7103-00-2-L3_01,15.79,01100006,2012,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,687951.067810059,4462.58250700232
6,CT7103-00-2-L4_01,4.97,01100006,2012,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",Fully Supporting,Not Assessed,Not Supporting,Water Not Classified For Drinking Supply,216249.04095459,3312.56720848001
7,CT5200-00-4-L2_01,70.53,01100004,2012,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",Not Supporting,Not Supporting,Not Supporting,Water Not Classified For Drinking Supply,3072259.65930176,11639.4607225449
8,CT5207-00-1-L1_01,66.07,01100004,2012,North Farms Reservoir (Wallingford),"0.5 miles west of Rt. 91, north side of Rt. 68, Wallingford.  Headwaters of Wharton Brook.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2878025.34356689,9620.4620908766
9,CT5207-02-1-L1_01,4.79,01100004,2012,Allen Brook Pond (North Haven/Wallingford),"Wharton Brook State Park. Impoundment off Allen Brook, near mouth and confluence with Wharton Brook; Wallingford/North Haven boundary.",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,208496.927490234,2759.56665168017
10,CT5110-04-1-L1_01,96.1,01100004,2012,Quonnipaug Lake (Guilford),"Guilford just east of Rt 77, 2 miles north of Rt 80.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4186133.74987793,18247.4262678601
